Speaker Analysis Results (sorted by duration)
===========================================

Total speakers found: 509

Speaker Name                                  | Duration (hours)
-----------------------------------------------+----------------
spk_en_el_v3_9                                   |           0.44
spk_en_el_v3_32                                  |           0.42
spk_en_el_v3_4                                   |           0.42
spk_en_el_v3_38                                  |           0.41
spk_en_el_v3_7                                   |           0.41
spk_en_el_v3_24                                  |           0.40
spk_en_el_v3_37                                  |           0.40
spk_en_el_v3_25                                  |           0.39
spk_en_el_v3_18                                  |           0.39
spk_en_el_v3_30                                  |           0.39
spk_en_el_v3_23                                  |           0.38
spk_en_el_v3_5                                   |           0.38
spk_en_el_v3_6                                   |           0.38
spk_en_el_v3_11                                  |           0.38
spk_en_el_v3_22                                  |           0.37
spk_en_el_v3_27                                  |           0.37
spk_en_el_v3_29                                  |           0.37
spk_en_el_v3_21                                  |           0.37
spk_en_el_v3_28                                  |           0.36
spk_en_el_v3_20                                  |           0.36
spk_en_el_v3_31                                  |           0.36
spk_en_el_v3_33                                  |           0.35
spk_en_el_v3_3                                   |           0.35
spk_en_el_v3_15                                  |           0.35
spk_en_el_v3_34                                  |           0.35
spk_en_el_v3_36                                  |           0.34
spk_en_el_v3_2                                   |           0.34
spk_en_el_v3_8                                   |           0.34
spk_en_el_v3_17                                  |           0.34
spk_en_el_v3_14                                  |           0.33
spk_en_el_v3_19                                  |           0.33
spk_en_el_v3_0                                   |           0.33
spk_en_el_v3_16                                  |           0.33
spk_en_el_v3_1                                   |           0.33
spk_en_el_v3_13                                  |           0.33
spk_en_el_v3_26                                  |           0.32
spk_en_el_v3_35                                  |           0.32
spk_en_el_v3_10                                  |           0.32
spk_en_el_v3_12                                  |           0.32
spk_en_el_v2_18                                  |           0.05
spk_en_el_v2_32                                  |           0.05
spk_en_el_v2_9                                   |           0.04
spk_en_el_v2_38                                  |           0.04
spk_en_el_v2_7                                   |           0.04
spk_en_el_v2_199                                 |           0.04
spk_en_el_v2_258                                 |           0.04
spk_en_el_v2_21                                  |           0.04
spk_en_el_v2_259                                 |           0.04
spk_en_el_v2_24                                  |           0.04
spk_en_el_v2_29                                  |           0.04
spk_en_el_v2_260                                 |           0.04
spk_en_el_v2_210                                 |           0.04
spk_en_el_v2_203                                 |           0.04
spk_en_el_v2_283                                 |           0.04
spk_en_el_v2_91                                  |           0.04
spk_en_el_v2_366                                 |           0.04
spk_en_el_v2_447                                 |           0.04
spk_en_el_v2_25                                  |           0.04
spk_en_el_v2_384                                 |           0.04
spk_en_el_v2_50                                  |           0.04
spk_en_el_v2_251                                 |           0.04
spk_en_el_v2_239                                 |           0.04
