Speaker Analysis Results (sorted by duration)
===========================================

Total speakers found: 7891

Speaker Name                                  | Duration (hours)
-----------------------------------------------+----------------
Emirati_female_1                                 |          37.76
Emirati_male_2                                   |          36.11
Emirati_male_1                                   |          35.74
Emirati_male_6                                   |          35.47
Emirati_male_3                                   |          34.10
Emirati_1                                        |          27.02
spk_sp_en_2                                      |          25.04
Nouran                                           |          10.03
Nabeel                                           |           9.70
Emirati_10                                       |           8.40
spk_sp_ar_7                                      |           7.96
Emirati_13                                       |           6.50
Emirati_88                                       |           4.70
Emirati_580                                      |           4.37
Emirati_89                                       |           4.28
Emirati_86                                       |           4.11
Emirati_58                                       |           4.07
Emirati_133                                      |           3.72
Emirati_171                                      |           3.52
Emirati_25                                       |           3.45
Emirati_23                                       |           3.44
Emirati_452                                      |           2.90
Emirati_69                                       |           2.84
Emirati_109                                      |           2.63
Emirati_167                                      |           2.49
Emirati_71                                       |           2.43
Emirati_20                                       |           2.39
spk_sp_ar_12                                     |           2.25
spk_sp_ar_39                                     |           2.23
Emirati_528                                      |           1.86
spk_sp_ar_40                                     |           1.86
Emirati_2                                        |           1.82
Emirati_268                                      |           1.80
spk_sp_en_4                                      |           1.77
Emirati_458                                      |           1.74
spk_sp_ar_116                                    |           1.48
spk_ar_el_v3_32                                  |           1.41
Emirati_194                                      |           1.39
Emirati_606                                      |           1.36
spk_ar_el_v3_9                                   |           1.29
Emirati_56                                       |           1.29
Emirati_275                                      |           1.28
spk_sp_en_43                                     |           1.27
Emirati_53                                       |           1.24
spk_sp_ar_14                                     |           1.24
Emirati_164                                      |           1.19
spk_ar_el_v3_4                                   |           1.14
spk_sp_ar_99                                     |           1.12
spk_ar_el_v3_7                                   |           1.11
Emirati_55                                       |           1.10
Emirati_155                                      |           1.08
spk_ar_el_v3_21                                  |           1.07
spk_sp_ar_254                                    |           1.07
spk_sp_ar_944                                    |           1.06
spk_ar_el_v3_25                                  |           1.06
spk_ar_el_v3_38                                  |           1.05
spk_ar_el_v3_22                                  |           1.04
spk_ar_el_v3_29                                  |           1.03
spk_ar_el_v3_11                                  |           1.02
spk_ar_el_v3_18                                  |           1.02
spk_ar_el_v3_24                                  |           1.00
spk_ar_el_v3_23                                  |           0.98
Emirati_1991                                     |           0.98
spk_ar_el_v3_3                                   |           0.97
spk_ar_el_v3_36                                  |           0.97
Emirati_462                                      |           0.96
spk_ar_el_v3_33                                  |           0.96
spk_ar_el_v3_8                                   |           0.96
spk_ar_el_v3_30                                  |           0.96
spk_ar_el_v3_27                                  |           0.96
Emirati_1042                                     |           0.96
spk_ar_el_v3_15                                  |           0.95
spk_ar_el_v3_20                                  |           0.94
spk_sp_en_38                                     |           0.93
spk_ar_el_v3_28                                  |           0.93
spk_ar_el_v3_1                                   |           0.91
spk_ar_el_v3_37                                  |           0.91
Emirati_1779                                     |           0.90
spk_ar_el_v3_19                                  |           0.89
spk_ar_el_v3_31                                  |           0.89
spk_ar_el_v3_5                                   |           0.88
spk_ar_el_v3_12                                  |           0.88
spk_ar_el_v3_26                                  |           0.88
Emirati_8                                        |           0.88
spk_ar_el_v3_34                                  |           0.87
spk_ar_el_v3_14                                  |           0.86
spk_ar_el_v3_13                                  |           0.85
spk_sp_ar_430                                    |           0.85
spk_ar_el_v3_6                                   |           0.85
spk_sp_ar_18                                     |           0.84
spk_ar_el_v3_35                                  |           0.84
spk_sp_ar_339                                    |           0.83
spk_ar_el_v3_17                                  |           0.82
spk_ar_el_v3_10                                  |           0.82
Emirati_274                                      |           0.81
spk_sp_en_21                                     |           0.79
spk_ar_el_v3_2                                   |           0.79
spk_ar_el_v3_16                                  |           0.78
Emirati_292                                      |           0.76
Emirati_300                                      |           0.75
spk_ar_el_v3_0                                   |           0.74
Emirati_107                                      |           0.74
Emirati_207                                      |           0.73
Emirati_236                                      |           0.72
Emirati_141                                      |           0.72
Emirati_75                                       |           0.71
Emirati_33                                       |           0.70
Emirati_209                                      |           0.69
Emirati_129                                      |           0.68
Emirati_1328                                     |           0.67
Emirati_29                                       |           0.65
spk_sp_ar_689                                    |           0.63
spk_sp_ar_150                                    |           0.62
Emirati_1588                                     |           0.62
Emirati_144                                      |           0.60
Emirati_146                                      |           0.60
Emirati_2424                                     |           0.59
Emirati_24                                       |           0.58
Emirati_778                                      |           0.55
spk_sp_ar_11                                     |           0.54
Emirati_61                                       |           0.54
Emirati_421                                      |           0.53
Emirati_574                                      |           0.53
spk_sp_ar_1226                                   |           0.53
Emirati_647                                      |           0.50
spk_sp_ar_1                                      |           0.49
Emirati_263                                      |           0.49
Emirati_1417                                     |           0.48
Emirati_82                                       |           0.46
Emirati_517                                      |           0.45
Emirati_185                                      |           0.45
Emirati_295                                      |           0.45
spk_sp_en_246                                    |           0.44
Emirati_411                                      |           0.44
Emirati_479                                      |           0.43
Emirati_3886                                     |           0.42
Emirati_135                                      |           0.42
Emirati_151                                      |           0.42
spk_sp_ar_32                                     |           0.41
spk_sp_ar_523                                    |           0.41
Emirati_256                                      |           0.41
spk_sp_ar_245                                    |           0.40
Emirati_233                                      |           0.40
spk_sp_en_12                                     |           0.39
Emirati_303                                      |           0.39
Emirati_3450                                     |           0.39
Emirati_855                                      |           0.39
spk_sp_ar_162                                    |           0.38
Emirati_223                                      |           0.38
Emirati_508                                      |           0.38
Emirati_234                                      |           0.37
spk_sp_ar_106                                    |           0.37
Emirati_586                                      |           0.36
spk_sp_ar_280                                    |           0.36
Emirati_266                                      |           0.35
Emirati_211                                      |           0.35
Emirati_1343                                     |           0.35
Emirati_229                                      |           0.35
Emirati_2577                                     |           0.35
Emirati_265                                      |           0.34
Emirati_9                                        |           0.33
Emirati_22                                       |           0.33
Emirati_641                                      |           0.32
Emirati_154                                      |           0.32
spk_sp_en_203                                    |           0.31
Emirati_110                                      |           0.31
Emirati_1008                                     |           0.30
Emirati_405                                      |           0.29
Emirati_12                                       |           0.29
Emirati_2716                                     |           0.29
Emirati_603                                      |           0.29
Emirati_113                                      |           0.28
Emirati_54                                       |           0.28
Emirati_936                                      |           0.28
Emirati_80                                       |           0.27
Emirati_750                                      |           0.27
Emirati_78                                       |           0.27
Emirati_174                                      |           0.27
Emirati_188                                      |           0.27
Emirati_1998                                     |           0.27
Emirati_3623                                     |           0.26
spk_sp_ar_1607                                   |           0.26
spk_sp_ar_362                                    |           0.25
Emirati_230                                      |           0.25
Emirati_95                                       |           0.24
spk_sp_ar_603                                    |           0.23
spk_sp_ar_169                                    |           0.23
spk_sp_en_193                                    |           0.22
Emirati_192                                      |           0.22
Emirati_3350                                     |           0.22
Emirati_566                                      |           0.22
Emirati_330                                      |           0.22
Emirati_254                                      |           0.21
Emirati_308                                      |           0.21
spk_sp_en_327                                    |           0.21
spk_sp_ar_156                                    |           0.21
spk_sp_ar_1284                                   |           0.20
spk_sp_ar_135                                    |           0.20
Emirati_231                                      |           0.20
spk_sp_en_31                                     |           0.20
Emirati_152                                      |           0.19
Emirati_182                                      |           0.19
Emirati_21                                       |           0.19
spk_sp_ar_27                                     |           0.19
spk_sp_ar_762                                    |           0.19
spk_sp_en_315                                    |           0.19
spk_sp_en_117                                    |           0.18
Emirati_48                                       |           0.18
spk_sp_en_346                                    |           0.18
Emirati_91                                       |           0.18
spk_sp_ar_93                                     |           0.18
Emirati_96                                       |           0.18
Emirati_262                                      |           0.17
Emirati_525                                      |           0.17
Emirati_11                                       |           0.17
Emirati_3985                                     |           0.17
spk_sp_ar_79                                     |           0.17
Emirati_49                                       |           0.17
Emirati_1338                                     |           0.16
spk_sp_ar_108                                    |           0.16
spk_sp_ar_1412                                   |           0.15
Emirati_553                                      |           0.15
Emirati_602                                      |           0.15
Emirati_202                                      |           0.15
spk_sp_ar_80                                     |           0.15
Emirati_181                                      |           0.15
spk_sp_ar_441                                    |           0.15
spk_sp_ar_435                                    |           0.15
Emirati_398                                      |           0.14
Emirati_559                                      |           0.14
spk_sp_ar_117                                    |           0.14
spk_sp_en_341                                    |           0.14
spk_sp_ar_224                                    |           0.14
spk_sp_en_435                                    |           0.14
Emirati_166                                      |           0.14
spk_sp_ar_250                                    |           0.13
spk_sp_ar_131                                    |           0.13
Emirati_463                                      |           0.13
spk_sp_ar_6                                      |           0.13
Emirati_596                                      |           0.13
spk_sp_ar_472                                    |           0.13
spk_sp_ar_749                                    |           0.13
Emirati_76                                       |           0.13
spk_sp_ar_372                                    |           0.13
spk_sp_ar_180                                    |           0.12
Emirati_461                                      |           0.12
spk_sp_ar_779                                    |           0.12
Emirati_453                                      |           0.12
Emirati_301                                      |           0.12
Emirati_428                                      |           0.12
Emirati_3340                                     |           0.12
Emirati_105                                      |           0.12
Emirati_115                                      |           0.12
Emirati_15                                       |           0.11
spk_sp_ar_806                                    |           0.11
spk_sp_en_325                                    |           0.11
spk_sp_en_83                                     |           0.11
Emirati_1761                                     |           0.11
Emirati_46                                       |           0.11
Emirati_94                                       |           0.11
spk_sp_ar_171                                    |           0.10
spk_sp_en_30                                     |           0.10
spk_sp_ar_16                                     |           0.10
spk_sp_ar_380                                    |           0.10
spk_sp_ar_341                                    |           0.10
Emirati_439                                      |           0.10
Emirati_1172                                     |           0.10
spk_sp_ar_939                                    |           0.10
Emirati_4468                                     |           0.10
spk_sp_ar_374                                    |           0.10
Emirati_341                                      |           0.10
Emirati_369                                      |           0.10
Emirati_339                                      |           0.09
spk_sp_ar_55                                     |           0.09
Emirati_1003                                     |           0.09
spk_sp_en_223                                    |           0.09
Emirati_257                                      |           0.09
spk_sp_en_382                                    |           0.09
ar_vo_173                                        |           0.09
Emirati_158                                      |           0.09
Emirati_246                                      |           0.09
ar_vo_170                                        |           0.09
Emirati_407                                      |           0.09
Emirati_302                                      |           0.09
spk_sp_ar_1166                                   |           0.09
Emirati_1265                                     |           0.09
fen_en_vo                                        |           0.09
Emirati_137                                      |           0.08
Emirati_176                                      |           0.08
spk_sp_en_316                                    |           0.08
Emirati_2101                                     |           0.08
spk_sp_ar_871                                    |           0.08
Emirati_454                                      |           0.08
Emirati_949                                      |           0.08
Emirati_1698                                     |           0.08
Emirati_560                                      |           0.08
Emirati_150                                      |           0.08
spk_sp_ar_1736                                   |           0.08
mono_ml_26                                       |           0.08
spk_sp_ar_1457                                   |           0.08
Emirati_1393                                     |           0.08
mono_ml_54                                       |           0.08
tommy_en_vo                                      |           0.08
mono_ml_44                                       |           0.08
Emirati_470                                      |           0.08
irwin_en_vo                                      |           0.08
Emirati_63                                       |           0.08
mono_ml_52                                       |           0.08
ar_vo_299                                        |           0.08
spk_sp_ar_1620                                   |           0.08
rogan_en_vo                                      |           0.08
ar_vo_111                                        |           0.08
ar_vo_145                                        |           0.08
enambe_en_vo                                     |           0.08
Emirati_298                                      |           0.08
spk_sp_en_262                                    |           0.08
ar_vo_647                                        |           0.08
ar_vo_692                                        |           0.08
ar_vo_159                                        |           0.08
sten_en_vo                                       |           0.08
mint_en_vo                                       |           0.08
mono_ml_12                                       |           0.08
ar_vo_429                                        |           0.08
mono_ml_46                                       |           0.08
mono_ml_29                                       |           0.08
Emirati_502                                      |           0.08
spk_sp_en_380                                    |           0.08
Emirati_170                                      |           0.08
spk_sp_ar_337                                    |           0.08
spk_sp_en_155                                    |           0.08
ar_vo_155                                        |           0.08
ar_vo_270                                        |           0.08
kombat_en_vo                                     |           0.08
ar_vo_76                                         |           0.08
sasa_en_vo                                       |           0.08
sanjay_en_vo                                     |           0.08
mono_ml_69                                       |           0.08
hebre_en_vo                                      |           0.08
Emirati_2474                                     |           0.08
Emirati_34                                       |           0.08
spk_sp_en_371                                    |           0.07
ar_vo_573                                        |           0.07
deny_en_vo                                       |           0.07
ar_vo_213                                        |           0.07
heather_en_vo                                    |           0.07
ar_vo_201                                        |           0.07
spk_sp_ar_1540                                   |           0.07
kenx_en_vo                                       |           0.07
spk_sp_ar_84                                     |           0.07
sonet_en_vo                                      |           0.07
ar_vo_425                                        |           0.07
ar_vo_114                                        |           0.07
ar_vo_84                                         |           0.07
ar_vo_165                                        |           0.07
mommonso_en_vo                                   |           0.07
ar_vo_301                                        |           0.07
mono_ml_6                                        |           0.07
mono_ml_22                                       |           0.07
spk_sp_ar_1416                                   |           0.07
clement_en_vo                                    |           0.07
chris_en_vo                                      |           0.07
cask_en_vo                                       |           0.07
laura_en_vo                                      |           0.07
kar_en_vo                                        |           0.07
ar_vo_438                                        |           0.07
mono_ml_17                                       |           0.07
jovgy_en_vo                                      |           0.07
mono_ml_16                                       |           0.07
ar_vo_61                                         |           0.07
mono_ml_33                                       |           0.07
elementa_en_vo                                   |           0.07
espan_en_vo                                      |           0.07
johny_en_vo                                      |           0.07
mrjot_en_vo                                      |           0.07
justin_en_vo                                     |           0.07
ar_vo_207                                        |           0.07
mono_ml_37                                       |           0.07
ar_vo_322                                        |           0.07
spk_sp_ar_31                                     |           0.07
mono_ml_67                                       |           0.07
dpaud_en_vo                                      |           0.07
ar_vo_453                                        |           0.07
stephen_en_vo                                    |           0.07
ar_vo_199                                        |           0.07
mono_ml_48                                       |           0.07
ar_vo_683                                        |           0.07
stewie_en_vo                                     |           0.07
ar_vo_580                                        |           0.07
mono_ml_57                                       |           0.07
ar_vo_243                                        |           0.07
bruce_en_vo                                      |           0.07
marisaddu_en_vo                                  |           0.07
ar_vo_681                                        |           0.07
humphery_en_vo                                   |           0.07
kid_en_vo                                        |           0.07
mono_ml_7                                        |           0.07
mono_ml_61                                       |           0.07
ar_vo_369                                        |           0.07
ar_vo_69                                         |           0.07
ar_vo_239                                        |           0.07
mono_ml_45                                       |           0.07
thom_en_vo                                       |           0.07
Emirati_270                                      |           0.07
djkevi_en_vo                                     |           0.07
mono_ml_73                                       |           0.07
ar_vo_612                                        |           0.07
rin_en_vo                                        |           0.07
mono_ml_32                                       |           0.07
mono_ml_66                                       |           0.07
ar_vo_527                                        |           0.07
spk_sp_en_45                                     |           0.07
ar_vo_685                                        |           0.07
ar_vo_87                                         |           0.07
mono_ml_15                                       |           0.07
deeja_en_vo                                      |           0.07
mono_ml_8                                        |           0.07
ar_vo_529                                        |           0.07
ar_vo_81                                         |           0.07
ar_vo_556                                        |           0.07
mythic_en_vo                                     |           0.07
kriskepper_en_vo                                 |           0.07
spk_sp_ar_1091                                   |           0.07
sune_en_vo                                       |           0.07
lare_en_vo                                       |           0.07
amigo_en_vo                                      |           0.07
ar_vo_185                                        |           0.07
cat_en_vo                                        |           0.07
ar_vo_290                                        |           0.07
martin_en_vo                                     |           0.07
mrk_en_vo                                        |           0.07
mono_ml_13                                       |           0.07
eddie_en_vo                                      |           0.07
morpheus_en_vo                                   |           0.07
ruby_en_vo                                       |           0.07
mono_ml_39                                       |           0.07
