Speaker Analysis Results (sorted by duration)
===========================================

Total speakers found: 513

Speaker Name                                  | Duration (hours)
-----------------------------------------------+----------------
speaker_ex01                                     |           2.96
speaker_ex02                                     |           2.77
speaker_ex04                                     |           2.64
speaker_ex03                                     |           2.54
spk_en_el_v3_9                                   |           0.88
spk_en_el_v3_32                                  |           0.84
spk_en_el_v3_4                                   |           0.83
spk_en_el_v3_38                                  |           0.83
spk_en_el_v3_7                                   |           0.82
spk_en_el_v3_24                                  |           0.81
spk_en_el_v3_37                                  |           0.80
spk_en_el_v3_25                                  |           0.79
spk_en_el_v3_18                                  |           0.78
spk_en_el_v3_30                                  |           0.77
spk_en_el_v3_23                                  |           0.76
spk_en_el_v3_5                                   |           0.76
spk_en_el_v3_6                                   |           0.76
spk_en_el_v3_11                                  |           0.75
spk_en_el_v3_22                                  |           0.75
spk_en_el_v3_27                                  |           0.75
spk_en_el_v3_29                                  |           0.74
spk_en_el_v3_21                                  |           0.74
spk_en_el_v3_28                                  |           0.73
spk_en_el_v3_20                                  |           0.72
spk_en_el_v3_31                                  |           0.72
spk_en_el_v3_33                                  |           0.71
spk_en_el_v3_3                                   |           0.70
spk_en_el_v3_15                                  |           0.69
spk_en_el_v3_34                                  |           0.69
spk_en_el_v3_36                                  |           0.69
spk_en_el_v3_2                                   |           0.69
spk_en_el_v3_8                                   |           0.68
spk_en_el_v3_17                                  |           0.68
spk_en_el_v3_14                                  |           0.67
spk_en_el_v3_19                                  |           0.67
spk_en_el_v3_0                                   |           0.66
spk_en_el_v3_16                                  |           0.66
spk_en_el_v3_1                                   |           0.66
spk_en_el_v3_13                                  |           0.65
spk_en_el_v3_26                                  |           0.65
spk_en_el_v3_35                                  |           0.65
spk_en_el_v3_10                                  |           0.64
spk_en_el_v3_12                                  |           0.64
spk_en_el_v2_18                                  |           0.09
spk_en_el_v2_32                                  |           0.09
spk_en_el_v2_9                                   |           0.09
spk_en_el_v2_38                                  |           0.09
spk_en_el_v2_7                                   |           0.09
spk_en_el_v2_199                                 |           0.08
spk_en_el_v2_258                                 |           0.08
spk_en_el_v2_21                                  |           0.08
spk_en_el_v2_259                                 |           0.08
spk_en_el_v2_24                                  |           0.08
spk_en_el_v2_260                                 |           0.08
spk_en_el_v2_29                                  |           0.08
spk_en_el_v2_210                                 |           0.08
spk_en_el_v2_203                                 |           0.08
spk_en_el_v2_283                                 |           0.08
spk_en_el_v2_91                                  |           0.08
spk_en_el_v2_366                                 |           0.08
spk_en_el_v2_447                                 |           0.08
spk_en_el_v2_25                                  |           0.08
spk_en_el_v2_384                                 |           0.08
spk_en_el_v2_50                                  |           0.08
spk_en_el_v2_251                                 |           0.08
spk_en_el_v2_239                                 |           0.08
spk_en_el_v2_171                                 |           0.07
spk_en_el_v2_153                                 |           0.07
spk_en_el_v2_263                                 |           0.07
spk_en_el_v2_49                                  |           0.07
spk_en_el_v2_402                                 |           0.07
spk_en_el_v2_64                                  |           0.07
spk_en_el_v2_4                                   |           0.07
spk_en_el_v2_63                                  |           0.07
spk_en_el_v2_187                                 |           0.07
spk_en_el_v2_340                                 |           0.07
spk_en_el_v2_331                                 |           0.07
spk_en_el_v2_461                                 |           0.07
spk_en_el_v2_144                                 |           0.07
