Speaker Analysis Results (sorted by duration)
===========================================

Total speakers found: 2113

Speaker Name                                  | Duration (hours)
-----------------------------------------------+----------------
spk_sp_en_2                                      |          25.04
spk_sp_ar_7                                      |           7.96
spk_sp_ar_12                                     |           2.25
spk_sp_ar_39                                     |           2.23
spk_sp_ar_40                                     |           1.86
spk_sp_en_4                                      |           1.77
spk_sp_ar_116                                    |           1.48
spk_sp_en_43                                     |           1.27
spk_sp_ar_14                                     |           1.24
spk_sp_ar_99                                     |           1.12
spk_sp_ar_254                                    |           1.07
spk_sp_ar_944                                    |           1.06
spk_sp_en_38                                     |           0.93
spk_sp_ar_430                                    |           0.85
spk_sp_ar_18                                     |           0.84
spk_sp_ar_339                                    |           0.83
spk_sp_en_21                                     |           0.79
spk_sp_ar_689                                    |           0.63
spk_sp_ar_150                                    |           0.62
spk_sp_ar_11                                     |           0.54
spk_sp_ar_1226                                   |           0.53
spk_sp_ar_1                                      |           0.49
spk_sp_en_246                                    |           0.44
spk_sp_ar_32                                     |           0.41
spk_sp_ar_523                                    |           0.41
spk_sp_ar_245                                    |           0.40
spk_sp_en_12                                     |           0.39
spk_sp_ar_162                                    |           0.38
spk_sp_ar_106                                    |           0.37
spk_sp_ar_280                                    |           0.36
spk_sp_en_203                                    |           0.31
spk_sp_ar_1607                                   |           0.26
spk_sp_ar_362                                    |           0.25
spk_sp_ar_603                                    |           0.23
spk_sp_ar_169                                    |           0.23
spk_sp_en_193                                    |           0.22
spk_sp_en_327                                    |           0.21
spk_sp_ar_156                                    |           0.21
spk_sp_ar_1284                                   |           0.20
spk_sp_ar_135                                    |           0.20
spk_sp_en_31                                     |           0.20
spk_sp_ar_27                                     |           0.19
spk_sp_ar_762                                    |           0.19
spk_sp_en_315                                    |           0.19
spk_sp_en_117                                    |           0.18
spk_sp_en_346                                    |           0.18
spk_sp_ar_93                                     |           0.18
spk_sp_ar_79                                     |           0.17
spk_sp_ar_108                                    |           0.16
spk_sp_ar_1412                                   |           0.15
spk_sp_ar_80                                     |           0.15
spk_sp_ar_441                                    |           0.15
spk_sp_ar_435                                    |           0.15
spk_sp_ar_117                                    |           0.14
spk_sp_en_341                                    |           0.14
spk_sp_ar_224                                    |           0.14
spk_sp_en_435                                    |           0.14
spk_sp_ar_250                                    |           0.13
spk_sp_ar_131                                    |           0.13
spk_sp_ar_6                                      |           0.13
spk_sp_ar_472                                    |           0.13
spk_sp_ar_749                                    |           0.13
spk_sp_ar_372                                    |           0.13
spk_sp_ar_180                                    |           0.12
spk_sp_ar_779                                    |           0.12
spk_sp_ar_806                                    |           0.11
spk_sp_en_325                                    |           0.11
spk_sp_en_83                                     |           0.11
spk_sp_ar_171                                    |           0.10
spk_sp_en_30                                     |           0.10
spk_sp_ar_16                                     |           0.10
spk_sp_ar_380                                    |           0.10
spk_sp_ar_341                                    |           0.10
spk_sp_ar_939                                    |           0.10
spk_sp_ar_374                                    |           0.10
spk_sp_ar_55                                     |           0.09
spk_sp_en_223                                    |           0.09
spk_sp_en_382                                    |           0.09
spk_sp_ar_1166                                   |           0.09
spk_sp_en_316                                    |           0.08
spk_sp_ar_871                                    |           0.08
spk_sp_ar_1736                                   |           0.08
spk_sp_ar_1457                                   |           0.08
spk_sp_ar_1620                                   |           0.08
spk_sp_en_262                                    |           0.08
spk_sp_en_380                                    |           0.08
spk_sp_ar_337                                    |           0.08
spk_sp_en_155                                    |           0.08
spk_sp_en_371                                    |           0.07
spk_sp_ar_1540                                   |           0.07
spk_sp_ar_84                                     |           0.07
spk_sp_ar_1416                                   |           0.07
spk_sp_ar_31                                     |           0.07
spk_sp_en_45                                     |           0.07
spk_sp_ar_1091                                   |           0.07
spk_sp_ar_751                                    |           0.07
spk_sp_en_370                                    |           0.06
spk_sp_ar_1161                                   |           0.06
spk_sp_en_166                                    |           0.06
spk_sp_ar_176                                    |           0.06
spk_sp_ar_73                                     |           0.06
spk_sp_en_57                                     |           0.06
spk_sp_en_297                                    |           0.06
spk_sp_en_477                                    |           0.06
spk_sp_ar_446                                    |           0.06
spk_sp_en_312                                    |           0.06
spk_sp_en_137                                    |           0.05
spk_sp_ar_30                                     |           0.05
spk_sp_ar_1430                                   |           0.05
spk_sp_en_306                                    |           0.05
spk_sp_en_17                                     |           0.05
spk_sp_en_119                                    |           0.05
spk_sp_en_63                                     |           0.05
spk_sp_ar_485                                    |           0.05
spk_sp_ar_248                                    |           0.04
spk_sp_en_478                                    |           0.04
spk_sp_ar_120                                    |           0.04
spk_sp_ar_668                                    |           0.04
spk_sp_ar_203                                    |           0.04
spk_sp_ar_133                                    |           0.04
spk_sp_ar_682                                    |           0.04
spk_sp_ar_709                                    |           0.04
spk_sp_ar_596                                    |           0.04
spk_sp_ar_1290                                   |           0.04
spk_sp_en_99                                     |           0.04
spk_sp_ar_269                                    |           0.03
spk_sp_en_77                                     |           0.03
spk_sp_ar_628                                    |           0.03
spk_sp_ar_889                                    |           0.03
spk_sp_ar_513                                    |           0.03
spk_sp_en_179                                    |           0.03
spk_sp_en_19                                     |           0.03
spk_sp_ar_1304                                   |           0.03
spk_sp_ar_470                                    |           0.03
spk_sp_en_48                                     |           0.03
spk_sp_ar_832                                    |           0.03
spk_sp_ar_516                                    |           0.03
spk_sp_ar_89                                     |           0.03
spk_sp_ar_74                                     |           0.03
spk_sp_ar_637                                    |           0.03
spk_sp_en_28                                     |           0.03
spk_sp_ar_495                                    |           0.03
spk_sp_ar_22                                     |           0.03
spk_sp_ar_343                                    |           0.03
spk_sp_ar_297                                    |           0.03
spk_sp_ar_126                                    |           0.03
spk_sp_ar_144                                    |           0.03
spk_sp_ar_244                                    |           0.03
spk_sp_ar_190                                    |           0.02
spk_sp_ar_56                                     |           0.02
spk_sp_ar_261                                    |           0.02
spk_sp_ar_488                                    |           0.02
spk_sp_en_428                                    |           0.02
spk_sp_ar_59                                     |           0.02
spk_sp_ar_1463                                   |           0.02
spk_sp_ar_318                                    |           0.02
spk_sp_ar_257                                    |           0.02
spk_sp_en_381                                    |           0.02
spk_sp_ar_533                                    |           0.02
spk_sp_ar_276                                    |           0.02
spk_sp_en_1                                      |           0.02
spk_sp_ar_324                                    |           0.02
spk_sp_ar_537                                    |           0.02
spk_sp_ar_1600                                   |           0.02
spk_sp_ar_179                                    |           0.02
spk_sp_ar_13                                     |           0.02
spk_sp_ar_634                                    |           0.02
spk_sp_ar_219                                    |           0.02
spk_sp_ar_583                                    |           0.02
spk_sp_ar_226                                    |           0.02
spk_sp_ar_1265                                   |           0.02
spk_sp_ar_168                                    |           0.02
spk_sp_en_16                                     |           0.02
spk_sp_ar_581                                    |           0.02
spk_sp_ar_635                                    |           0.02
spk_sp_ar_416                                    |           0.02
spk_sp_ar_992                                    |           0.02
spk_sp_en_206                                    |           0.02
spk_sp_ar_551                                    |           0.02
spk_sp_ar_574                                    |           0.02
spk_sp_ar_1067                                   |           0.02
spk_sp_ar_260                                    |           0.02
spk_sp_en_47                                     |           0.02
spk_sp_en_8                                      |           0.02
spk_sp_ar_463                                    |           0.02
spk_sp_ar_452                                    |           0.02
spk_sp_ar_210                                    |           0.02
spk_sp_en_271                                    |           0.02
spk_sp_ar_239                                    |           0.02
spk_sp_ar_166                                    |           0.02
spk_sp_ar_875                                    |           0.02
spk_sp_ar_439                                    |           0.02
spk_sp_ar_714                                    |           0.02
spk_sp_ar_393                                    |           0.02
spk_sp_ar_1606                                   |           0.02
spk_sp_ar_756                                    |           0.02
spk_sp_en_471                                    |           0.02
spk_sp_en_340                                    |           0.02
spk_sp_ar_1051                                   |           0.01
spk_sp_en_323                                    |           0.01
spk_sp_ar_1124                                   |           0.01
spk_sp_en_6                                      |           0.01
spk_sp_en_82                                     |           0.01
spk_sp_ar_371                                    |           0.01
spk_sp_ar_88                                     |           0.01
spk_sp_ar_255                                    |           0.01
spk_sp_en_356                                    |           0.01
spk_sp_ar_1035                                   |           0.01
spk_sp_en_10                                     |           0.01
spk_sp_ar_921                                    |           0.01
spk_sp_ar_236                                    |           0.01
spk_sp_ar_942                                    |           0.01
spk_sp_ar_287                                    |           0.01
spk_sp_en_261                                    |           0.01
spk_sp_en_51                                     |           0.01
spk_sp_ar_77                                     |           0.01
spk_sp_ar_62                                     |           0.01
spk_sp_ar_72                                     |           0.01
spk_sp_ar_760                                    |           0.01
spk_sp_ar_238                                    |           0.01
spk_sp_ar_566                                    |           0.01
spk_sp_ar_277                                    |           0.01
spk_sp_ar_199                                    |           0.01
spk_sp_ar_388                                    |           0.01
spk_sp_ar_1090                                   |           0.01
spk_sp_en_118                                    |           0.01
spk_sp_ar_252                                    |           0.01
spk_sp_ar_444                                    |           0.01
spk_sp_ar_936                                    |           0.01
spk_sp_en_300                                    |           0.01
spk_sp_ar_155                                    |           0.01
spk_sp_en_229                                    |           0.01
spk_sp_ar_118                                    |           0.01
spk_sp_en_142                                    |           0.01
spk_sp_en_322                                    |           0.01
spk_sp_ar_1419                                   |           0.01
spk_sp_ar_21                                     |           0.01
spk_sp_ar_1021                                   |           0.01
spk_sp_ar_1056                                   |           0.01
spk_sp_en_389                                    |           0.01
spk_sp_ar_496                                    |           0.01
spk_sp_ar_145                                    |           0.01
spk_sp_en_14                                     |           0.01
spk_sp_ar_398                                    |           0.01
spk_sp_en_39                                     |           0.01
spk_sp_ar_829                                    |           0.01
spk_sp_ar_899                                    |           0.01
spk_sp_ar_1757                                   |           0.01
spk_sp_ar_894                                    |           0.01
spk_sp_ar_491                                    |           0.01
spk_sp_ar_934                                    |           0.01
spk_sp_ar_1176                                   |           0.01
spk_sp_ar_308                                    |           0.01
spk_sp_ar_1777                                   |           0.01
spk_sp_en_143                                    |           0.01
spk_sp_ar_167                                    |           0.01
spk_sp_ar_1251                                   |           0.01
spk_sp_ar_279                                    |           0.01
spk_sp_ar_53                                     |           0.01
spk_sp_ar_434                                    |           0.01
spk_sp_en_414                                    |           0.01
spk_sp_ar_757                                    |           0.01
spk_sp_ar_1643                                   |           0.01
spk_sp_ar_716                                    |           0.01
spk_sp_en_254                                    |           0.01
spk_sp_ar_34                                     |           0.01
spk_sp_ar_112                                    |           0.01
spk_sp_ar_475                                    |           0.01
spk_sp_ar_401                                    |           0.01
spk_sp_ar_1744                                   |           0.01
spk_sp_ar_795                                    |           0.01
spk_sp_ar_440                                    |           0.01
spk_sp_ar_45                                     |           0.01
spk_sp_ar_1190                                   |           0.01
spk_sp_en_320                                    |           0.01
spk_sp_ar_1191                                   |           0.01
spk_sp_en_76                                     |           0.01
spk_sp_ar_611                                    |           0.01
spk_sp_ar_208                                    |           0.01
spk_sp_en_24                                     |           0.01
spk_sp_ar_96                                     |           0.01
spk_sp_ar_392                                    |           0.01
spk_sp_ar_1173                                   |           0.01
spk_sp_ar_758                                    |           0.01
spk_sp_ar_422                                    |           0.01
spk_sp_ar_693                                    |           0.01
spk_sp_ar_589                                    |           0.01
spk_sp_ar_174                                    |           0.01
spk_sp_ar_284                                    |           0.01
spk_sp_ar_122                                    |           0.01
spk_sp_ar_409                                    |           0.01
spk_sp_ar_577                                    |           0.01
spk_sp_ar_922                                    |           0.01
spk_sp_ar_696                                    |           0.01
spk_sp_ar_1093                                   |           0.01
spk_sp_en_114                                    |           0.01
spk_sp_en_177                                    |           0.01
spk_sp_ar_323                                    |           0.01
spk_sp_ar_194                                    |           0.01
spk_sp_en_361                                    |           0.01
spk_sp_ar_970                                    |           0.01
spk_sp_ar_1368                                   |           0.01
spk_sp_ar_170                                    |           0.01
spk_sp_en_120                                    |           0.01
spk_sp_ar_8                                      |           0.01
spk_sp_ar_803                                    |           0.01
spk_sp_en_220                                    |           0.01
spk_sp_ar_232                                    |           0.01
spk_sp_ar_937                                    |           0.01
spk_sp_ar_1027                                   |           0.01
spk_sp_ar_278                                    |           0.01
spk_sp_ar_752                                    |           0.01
spk_sp_ar_982                                    |           0.01
spk_sp_ar_951                                    |           0.01
spk_sp_en_299                                    |           0.01
spk_sp_ar_886                                    |           0.01
spk_sp_ar_289                                    |           0.01
spk_sp_ar_26                                     |           0.01
spk_sp_ar_553                                    |           0.01
spk_sp_ar_1277                                   |           0.01
spk_sp_ar_23                                     |           0.01
spk_sp_en_249                                    |           0.01
