Speaker Analysis Results (sorted by duration)
===========================================

Total speakers found: 11261

Speaker Name                                  | Duration (hours)
-----------------------------------------------+----------------
Emirati_female_1                                 |          37.76
Emirati_male_2                                   |          36.11
Emirati_male_1                                   |          35.74
Emirati_male_6                                   |          35.47
Emirati_male_3                                   |          34.10
Emirati_1                                        |          27.02
spk_sp_en_2                                      |          25.04
Nouran                                           |          10.03
Nabeel                                           |           9.70
Emirati_10                                       |           8.40
spk_sp_ar_7                                      |           7.96
Emirati_13                                       |           6.50
Emirati_88                                       |           4.70
Emirati_580                                      |           4.37
Emirati_89                                       |           4.28
Emirati_86                                       |           4.11
Emirati_58                                       |           4.07
Emirati_133                                      |           3.72
Emirati_171                                      |           3.52
Emirati_25                                       |           3.45
Emirati_23                                       |           3.44
speaker_ex01                                     |           2.96
Emirati_452                                      |           2.90
Emirati_69                                       |           2.84
speaker_ex02                                     |           2.77
speaker_ex04                                     |           2.64
Emirati_109                                      |           2.63
speaker_ex03                                     |           2.54
Emirati_167                                      |           2.49
Emirati_71                                       |           2.43
Emirati_20                                       |           2.39
spk_sp_ar_12                                     |           2.25
spk_sp_ar_39                                     |           2.23
Emirati_528                                      |           1.86
spk_sp_ar_40                                     |           1.86
ZH_B00010_S02671                                 |           1.83
Emirati_2                                        |           1.82
Emirati_268                                      |           1.80
spk_sp_en_4                                      |           1.77
Emirati_458                                      |           1.74
spk_sp_ar_116                                    |           1.48
spk_ar_el_v3_32                                  |           1.41
Emirati_194                                      |           1.39
Emirati_606                                      |           1.36
spk_ar_el_v3_9                                   |           1.29
Emirati_56                                       |           1.29
Emirati_275                                      |           1.28
spk_sp_en_43                                     |           1.27
Emirati_53                                       |           1.24
spk_sp_ar_14                                     |           1.24
Emirati_164                                      |           1.19
spk_ar_el_v3_4                                   |           1.14
spk_sp_ar_99                                     |           1.12
spk_ar_el_v3_7                                   |           1.11
Emirati_55                                       |           1.10
Emirati_155                                      |           1.08
spk_ar_el_v3_21                                  |           1.07
spk_sp_ar_254                                    |           1.07
spk_sp_ar_944                                    |           1.06
spk_ar_el_v3_25                                  |           1.06
spk_ar_el_v3_38                                  |           1.05
spk_ar_el_v3_22                                  |           1.04
spk_ar_el_v3_29                                  |           1.03
spk_ar_el_v3_11                                  |           1.02
spk_ar_el_v3_18                                  |           1.02
spk_ar_el_v3_24                                  |           1.00
spk_ar_el_v3_23                                  |           0.98
Emirati_1991                                     |           0.98
spk_ar_el_v3_3                                   |           0.97
spk_ar_el_v3_36                                  |           0.97
Emirati_462                                      |           0.96
spk_ar_el_v3_33                                  |           0.96
spk_ar_el_v3_8                                   |           0.96
spk_ar_el_v3_30                                  |           0.96
ZH_B00000_S04880                                 |           0.96
spk_ar_el_v3_27                                  |           0.96
Emirati_1042                                     |           0.96
spk_ar_el_v3_15                                  |           0.95
ZH_B00010_S00780                                 |           0.95
spk_ar_el_v3_20                                  |           0.94
spk_sp_en_38                                     |           0.93
spk_ar_el_v3_28                                  |           0.93
spk_ar_el_v3_1                                   |           0.91
spk_ar_el_v3_37                                  |           0.91
Emirati_1779                                     |           0.90
spk_ar_el_v3_19                                  |           0.89
spk_ar_el_v3_31                                  |           0.89
spk_ar_el_v3_5                                   |           0.88
spk_ar_el_v3_12                                  |           0.88
spk_ar_el_v3_26                                  |           0.88
Emirati_8                                        |           0.88
spk_en_el_v3_9                                   |           0.88
spk_ar_el_v3_34                                  |           0.87
spk_ar_el_v3_14                                  |           0.86
spk_ar_el_v3_13                                  |           0.85
spk_sp_ar_430                                    |           0.85
spk_ar_el_v3_6                                   |           0.85
spk_en_el_v3_32                                  |           0.84
spk_sp_ar_18                                     |           0.84
spk_ar_el_v3_35                                  |           0.84
spk_en_el_v3_4                                   |           0.83
spk_sp_ar_339                                    |           0.83
spk_en_el_v3_38                                  |           0.83
spk_en_el_v3_7                                   |           0.82
spk_ar_el_v3_17                                  |           0.82
spk_ar_el_v3_10                                  |           0.82
Emirati_274                                      |           0.81
spk_en_el_v3_24                                  |           0.81
spk_en_el_v3_37                                  |           0.80
spk_en_el_v3_25                                  |           0.79
spk_sp_en_21                                     |           0.79
spk_ar_el_v3_2                                   |           0.79
ZH_B00010_S02511                                 |           0.79
spk_en_el_v3_18                                  |           0.78
spk_ar_el_v3_16                                  |           0.78
spk_en_el_v3_30                                  |           0.77
Emirati_292                                      |           0.76
spk_en_el_v3_23                                  |           0.76
ZH_B00010_S03961                                 |           0.76
spk_en_el_v3_5                                   |           0.76
spk_en_el_v3_6                                   |           0.76
spk_en_el_v3_11                                  |           0.75
spk_en_el_v3_22                                  |           0.75
Emirati_300                                      |           0.75
spk_en_el_v3_27                                  |           0.75
spk_en_el_v3_29                                  |           0.74
spk_ar_el_v3_0                                   |           0.74
spk_en_el_v3_21                                  |           0.74
Emirati_107                                      |           0.74
ZH_B00010_S04361                                 |           0.73
Emirati_207                                      |           0.73
spk_en_el_v3_28                                  |           0.73
Emirati_236                                      |           0.72
spk_en_el_v3_20                                  |           0.72
Emirati_141                                      |           0.72
spk_en_el_v3_31                                  |           0.72
Emirati_75                                       |           0.71
ZH_B00010_S01460                                 |           0.71
spk_en_el_v3_33                                  |           0.71
spk_en_el_v3_3                                   |           0.70
Emirati_33                                       |           0.70
spk_en_el_v3_15                                  |           0.69
spk_en_el_v3_34                                  |           0.69
Emirati_209                                      |           0.69
spk_en_el_v3_36                                  |           0.69
spk_en_el_v3_2                                   |           0.69
Emirati_129                                      |           0.68
spk_en_el_v3_8                                   |           0.68
spk_en_el_v3_17                                  |           0.68
ZH_B00010_S02560                                 |           0.68
ZH_B00010_S04370                                 |           0.67
Emirati_1328                                     |           0.67
spk_en_el_v3_14                                  |           0.67
spk_en_el_v3_19                                  |           0.67
spk_en_el_v3_0                                   |           0.66
spk_en_el_v3_16                                  |           0.66
ZH_B00010_S00501                                 |           0.66
spk_en_el_v3_1                                   |           0.66
spk_en_el_v3_13                                  |           0.65
Emirati_29                                       |           0.65
spk_en_el_v3_26                                  |           0.65
spk_en_el_v3_35                                  |           0.65
ZH_B00000_S04140                                 |           0.64
spk_en_el_v3_10                                  |           0.64
spk_en_el_v3_12                                  |           0.64
spk_sp_ar_689                                    |           0.63
spk_sp_ar_150                                    |           0.62
ZH_B00000_S08650                                 |           0.62
Emirati_1588                                     |           0.62
ZH_B00010_S02831                                 |           0.62
ZH_B00010_S02680                                 |           0.61
ZH_B00000_S04930                                 |           0.61
Emirati_144                                      |           0.60
ZH_B00010_S06760                                 |           0.60
Emirati_146                                      |           0.60
ZH_B00000_S07850                                 |           0.59
ZH_B00010_S00251                                 |           0.59
Emirati_2424                                     |           0.59
Emirati_24                                       |           0.58
ZH_B00010_S03630                                 |           0.58
Emirati_778                                      |           0.55
spk_sp_ar_11                                     |           0.54
Emirati_61                                       |           0.54
Emirati_421                                      |           0.53
Emirati_574                                      |           0.53
ZH_B00000_S02370                                 |           0.53
spk_sp_ar_1226                                   |           0.53
ZH_B00010_S06761                                 |           0.52
ZH_B00010_S04011                                 |           0.52
ZH_B00010_S08570                                 |           0.51
ZH_B00010_S03950                                 |           0.50
ZH_B00010_S04240                                 |           0.50
ZH_B00010_S07901                                 |           0.50
Emirati_647                                      |           0.50
ZH_B00010_S03611                                 |           0.49
spk_sp_ar_1                                      |           0.49
Emirati_263                                      |           0.49
ZH_B00010_S00271                                 |           0.49
Emirati_1417                                     |           0.48
ZH_B00010_S01171                                 |           0.46
ZH_B00010_S06770                                 |           0.46
ZH_B00010_S01521                                 |           0.46
Emirati_82                                       |           0.46
Emirati_517                                      |           0.45
ZH_B00010_S04710                                 |           0.45
Emirati_185                                      |           0.45
ZH_B00010_S03920                                 |           0.45
ZH_B00010_S02580                                 |           0.45
Emirati_295                                      |           0.45
ZH_B00000_S00770                                 |           0.44
spk_sp_en_246                                    |           0.44
Emirati_411                                      |           0.44
ZH_B00010_S01470                                 |           0.44
Emirati_479                                      |           0.43
ZH_B00000_S00240                                 |           0.43
ZH_B00000_S08260                                 |           0.43
ZH_B00010_S02550                                 |           0.42
ZH_B00010_S01930                                 |           0.42
Emirati_3886                                     |           0.42
Emirati_135                                      |           0.42
Emirati_151                                      |           0.42
spk_sp_ar_32                                     |           0.41
ZH_B00010_S02681                                 |           0.41
ZH_B00000_S01340                                 |           0.41
spk_sp_ar_523                                    |           0.41
Emirati_256                                      |           0.41
ZH_B00010_S01501                                 |           0.41
ZH_B00010_S03921                                 |           0.41
spk_sp_ar_245                                    |           0.40
ZH_B00010_S03070                                 |           0.40
Emirati_233                                      |           0.40
ZH_B00000_S09840                                 |           0.39
ZH_B00010_S01510                                 |           0.39
ZH_B00010_S02710                                 |           0.39
spk_sp_en_12                                     |           0.39
ZH_B00010_S08121                                 |           0.39
Emirati_303                                      |           0.39
ZH_B00010_S04311                                 |           0.39
Emirati_3450                                     |           0.39
Emirati_855                                      |           0.39
ZH_B00010_S04131                                 |           0.38
spk_sp_ar_162                                    |           0.38
Emirati_223                                      |           0.38
Emirati_508                                      |           0.38
ZH_B00000_S09750                                 |           0.38
ZH_B00000_S04690                                 |           0.38
ZH_B00010_S00840                                 |           0.37
ZH_B00010_S02641                                 |           0.37
ZH_B00010_S08380                                 |           0.37
Emirati_234                                      |           0.37
ZH_B00010_S07971                                 |           0.37
spk_sp_ar_106                                    |           0.37
ZH_B00010_S03960                                 |           0.37
ZH_B00000_S00760                                 |           0.36
Emirati_586                                      |           0.36
spk_sp_ar_280                                    |           0.36
ZH_B00000_S05100                                 |           0.36
ZH_B00010_S07690                                 |           0.36
Emirati_266                                      |           0.35
ZH_B00010_S06801                                 |           0.35
ZH_B00010_S02790                                 |           0.35
Emirati_211                                      |           0.35
ZH_B00010_S03060                                 |           0.35
Emirati_1343                                     |           0.35
ZH_B00010_S01481                                 |           0.35
ZH_B00000_S02140                                 |           0.35
Emirati_229                                      |           0.35
ZH_B00010_S08371                                 |           0.35
Emirati_2577                                     |           0.35
ZH_B00010_S02791                                 |           0.34
ZH_B00010_S08551                                 |           0.34
ZH_B00010_S01511                                 |           0.34
Emirati_265                                      |           0.34
ZH_B00000_S01970                                 |           0.34
ZH_B00010_S02521                                 |           0.34
ZH_B00010_S03890                                 |           0.34
ZH_B00000_S06780                                 |           0.34
ZH_B00010_S03911                                 |           0.34
ZH_B00010_S08550                                 |           0.34
Emirati_9                                        |           0.33
Emirati_22                                       |           0.33
ZH_B00010_S03930                                 |           0.32
Emirati_641                                      |           0.32
ZH_B00010_S01491                                 |           0.32
ZH_B00010_S06450                                 |           0.32
ZH_B00000_S03250                                 |           0.32
ZH_B00010_S08020                                 |           0.32
ZH_B00000_S06870                                 |           0.32
ZH_B00010_S05360                                 |           0.32
Emirati_154                                      |           0.32
ZH_B00000_S06810                                 |           0.31
ZH_B00010_S02571                                 |           0.31
ZH_B00000_S01750                                 |           0.31
ZH_B00010_S05760                                 |           0.31
ZH_B00010_S07820                                 |           0.31
ZH_B00010_S03970                                 |           0.31
spk_sp_en_203                                    |           0.31
Emirati_110                                      |           0.31
ZH_B00000_S01500                                 |           0.31
ZH_B00010_S02610                                 |           0.31
ZH_B00000_S09830                                 |           0.31
ZH_B00010_S08030                                 |           0.31
ZH_B00010_S07920                                 |           0.30
ZH_B00010_S04250                                 |           0.30
ZH_B00000_S01660                                 |           0.30
ZH_B00000_S06540                                 |           0.30
ZH_B00010_S09100                                 |           0.30
ZH_B00010_S03971                                 |           0.30
ZH_B00000_S05190                                 |           0.30
ZH_B00010_S01651                                 |           0.30
ZH_B00000_S01350                                 |           0.30
ZH_B00000_S05380                                 |           0.30
ZH_B00000_S03460                                 |           0.30
ZH_B00010_S06481                                 |           0.30
ZH_B00000_S05390                                 |           0.30
ZH_B00000_S03660                                 |           0.30
ZH_B00010_S05451                                 |           0.30
ZH_B00010_S05761                                 |           0.30
ZH_B00000_S05780                                 |           0.30
ZH_B00000_S08200                                 |           0.30
Emirati_1008                                     |           0.30
ZH_B00010_S02570                                 |           0.30
ZH_B00010_S08041                                 |           0.30
ZH_B00010_S04261                                 |           0.30
ZH_B00010_S04291                                 |           0.30
ZH_B00010_S07630                                 |           0.30
ZH_B00010_S08640                                 |           0.29
ZH_B00000_S08400                                 |           0.29
ZH_B00010_S04160                                 |           0.29
ZH_B00000_S03350                                 |           0.29
ZH_B00010_S02621                                 |           0.29
ZH_B00010_S08260                                 |           0.29
Emirati_405                                      |           0.29
Emirati_12                                       |           0.29
ZH_B00000_S02680                                 |           0.29
ZH_B00010_S05440                                 |           0.29
Emirati_2716                                     |           0.29
ZH_B00000_S02860                                 |           0.29
Emirati_603                                      |           0.29
ZH_B00010_S07301                                 |           0.29
Emirati_113                                      |           0.28
ZH_B00010_S02470                                 |           0.28
ZH_B00010_S07941                                 |           0.28
ZH_B00010_S09170                                 |           0.28
Emirati_54                                       |           0.28
Emirati_936                                      |           0.28
ZH_B00010_S08050                                 |           0.28
ZH_B00010_S04310                                 |           0.28
ZH_B00010_S06710                                 |           0.28
ZH_B00010_S01210                                 |           0.27
ZH_B00000_S00390                                 |           0.27
Emirati_80                                       |           0.27
Emirati_750                                      |           0.27
ZH_B00010_S03321                                 |           0.27
ZH_B00000_S00210                                 |           0.27
ZH_B00010_S02880                                 |           0.27
ZH_B00000_S03430                                 |           0.27
Emirati_78                                       |           0.27
ZH_B00010_S06871                                 |           0.27
Emirati_174                                      |           0.27
Emirati_188                                      |           0.27
ZH_B00010_S03061                                 |           0.27
ZH_B00010_S04290                                 |           0.27
ZH_B00010_S02661                                 |           0.27
ZH_B00010_S04350                                 |           0.27
ZH_B00000_S02100                                 |           0.27
ZH_B00000_S00810                                 |           0.27
ZH_B00010_S04340                                 |           0.27
Emirati_1998                                     |           0.27
ZH_B00010_S04251                                 |           0.26
ZH_B00000_S08790                                 |           0.26
ZH_B00000_S00680                                 |           0.26
ZH_B00010_S08021                                 |           0.26
Emirati_3623                                     |           0.26
ZH_B00000_S08220                                 |           0.26
spk_sp_ar_1607                                   |           0.26
ZH_B00010_S06730                                 |           0.26
ZH_B00010_S08040                                 |           0.26
ZH_B00000_S00860                                 |           0.26
ZH_B00010_S09140                                 |           0.26
ZH_B00010_S03320                                 |           0.26
ZH_B00010_S05421                                 |           0.26
ZH_B00010_S00611                                 |           0.26
ZH_B00010_S04841                                 |           0.26
ZH_B00010_S02990                                 |           0.26
ZH_B00010_S09590                                 |           0.26
ZH_B00010_S08031                                 |           0.26
ZH_B00010_S04260                                 |           0.25
spk_sp_ar_362                                    |           0.25
ZH_B00010_S04540                                 |           0.25
ZH_B00010_S09120                                 |           0.25
ZH_B00010_S03951                                 |           0.25
ZH_B00010_S04281                                 |           0.25
